dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;D2;Ext;RBF SVM;0.947;0.872;0.887;0.748;0.92
data;catL;PubCh;RBF SVM;0.947;0.887;0.912;0.779;0.833
data;HIVprot;3D_H;Linear SVM;0.947;0.886;0.913;0.749;0.933
data;NOP;Ext;LogisticRegression;0.947;0.915;0.907;0.821;0.963
data;HIVint;FP;Linear SVM;0.947;0.927;0.961;0.846;0.879
pca_0.9;kappa;3D_H;RBF SVM;0.947;0.885;0.899;0.746;0.914
pca_0.9;HIVprot;3D_H;LogisticRegression;0.947;0.861;0.878;0.67;0.89
data;D2;3D_noH;RBF SVM;0.947;0.877;0.884;0.75;0.901
data;mi;MACCS;RBF SVM;0.947;0.895;0.912;0.784;0.934
data;5HT2A;3D_noH;LogisticRegression;0.947;0.879;0.913;0.751;0.94
data;catB;3D_noH;LogisticRegression;0.946;0.899;0.899;0.8;0.879
data;NOP;3D_H;LogisticRegression;0.946;0.899;0.891;0.792;0.944
pca_0.9;HIVprot;3D_H;RBF SVM;0.946;0.877;0.887;0.697;0.894
data;kappa;3D_H;Linear SVM;0.946;0.887;0.899;0.748;0.912
data;catB;KRFP;RBF SVM;0.946;0.869;0.87;0.741;0.848
data;catL;KRFP;Linear SVM;0.946;0.886;0.897;0.749;0.861
data;NMDA;3D_H;sAE_SoftMax;0.945;0.911;0.911;0.824;0.938
data;NMDA;3D_H;supervised_AE;0.945;0.911;0.911;0.824;0.938
data;HIVint;FP;LogisticRegression;0.945;0.932;0.97;0.876;0.879
data;delta;GraphOnly;Linear SVM;0.945;0.872;0.877;0.735;0.888
pca_100;kappa;3D_H;RBF SVM;0.945;0.892;0.879;0.727;0.865
data;kappa;FP;LogisticRegression;0.945;0.882;0.905;0.755;0.93
data;NOP;KRFP;LogisticRegression;0.945;0.878;0.876;0.751;0.889
data;5HT2A;2D_H;Linear SVM;0.945;0.886;0.895;0.724;0.902
data;D2;3D_H;Linear SVM;0.945;0.885;0.883;0.751;0.878
data;5HT2A;2D_noH;Linear SVM;0.945;0.886;0.895;0.724;0.902
data;HIVint;FP;RBF SVM;0.944;0.927;0.961;0.843;0.879
data;D2;3D_noH;LogisticRegression;0.944;0.882;0.887;0.756;0.898
data;kappa;PubCh;RBF SVM;0.944;0.879;0.9;0.745;0.924
data;5HT2A;3D_noH;RBF SVM;0.944;0.886;0.895;0.724;0.902
pca_100;D2;3D_H;RBF SVM;0.943;0.879;0.89;0.757;0.915
pca_0.9;D2;3D_H;LogisticRegression;0.943;0.869;0.873;0.726;0.882
data;kappa;KRFP;LogisticRegression;0.943;0.887;0.905;0.758;0.924
data;5HT6;FP;LogisticRegression;0.943;0.869;0.943;0.729;0.964
data;kappa;3D_H;sAE_SoftMax;0.943;0.931;0.931;0.865;0.886
data;kappa;3D_H;supervised_AE;0.943;0.931;0.931;0.865;0.886
pca_0.9;catL;3D_H;LogisticRegression;0.942;0.848;0.861;0.666;0.819
pca_0.9;HIVprot;3D_H;Linear SVM;0.942;0.875;0.878;0.683;0.88
data;NOP;FP;RBF SVM;0.942;0.867;0.86;0.729;0.907
data;D2;KRFP;RBF SVM;0.942;0.877;0.885;0.747;0.902
data;5HT2A;3D_H;Linear SVM;0.942;0.872;0.884;0.7;0.894
data;HIVprot;KRFP;RBF SVM;0.942;0.88;0.92;0.76;0.95
data;catL;GraphOnly;Linear SVM;0.941;0.884;0.908;0.766;0.833
data;5HT2c;2D_noH;LogisticRegression;0.941;0.873;0.882;0.74;0.901
data;mi;Ext;LogisticRegression;0.941;0.876;0.89;0.734;0.906
pca_0.9;kappa;3D_H;Linear SVM;0.941;0.855;0.857;0.664;0.859
data;catB;2D_noH;LogisticRegression;0.941;0.887;0.888;0.776;0.868
pca_100;kappa;3D_H;LogisticRegression;0.941;0.873;0.853;0.679;0.831
data;5HT2c;2D_H;LogisticRegression;0.941;0.873;0.882;0.74;0.901
data;5HT2A;MACCS;RBF SVM;0.941;0.857;0.877;0.676;0.893
data;catB;KRFP;LogisticRegression;0.941;0.861;0.862;0.723;0.848
data;catB;2D_H;LogisticRegression;0.941;0.887;0.888;0.776;0.868
data;5HT2c;2D_noH;LogisticRegression;0.941;0.873;0.882;0.74;0.901
pca_100;HIVprot;3D_H;RBF SVM;0.94;0.872;0.897;0.709;0.916
data;HIVprot;FP;RBF SVM;0.94;0.883;0.92;0.761;0.947
data;catB;3D_noH;RBF SVM;0.94;0.885;0.885;0.771;0.874
data;NOP;PubCh;LogisticRegression;0.94;0.899;0.891;0.791;0.944
data;catB;3D_H;LogisticRegression;0.94;0.878;0.879;0.757;0.848
data;5HT2A;3D_noH;Linear SVM;0.94;0.887;0.908;0.746;0.925
data;5HT2c;3D_H;RBF SVM;0.94;0.838;0.864;0.693;0.917
data;catB;Ext;RBF SVM;0.939;0.875;0.876;0.753;0.866
data;5HT6;FP;Linear SVM;0.939;0.871;0.937;0.711;0.956
data;NOP;2D_noH;LogisticRegression;0.939;0.898;0.894;0.792;0.93
data;kappa;Ext;LogisticRegression;0.939;0.881;0.899;0.745;0.918
data;NOP;2D_H;LogisticRegression;0.939;0.898;0.894;0.792;0.93
data;catB;3D_noH;Linear SVM;0.939;0.879;0.88;0.76;0.874
data;HIVrev;FP;RBF SVM;0.939;0.861;0.866;0.726;0.827
data;HIVprot;FP;LogisticRegression;0.938;0.859;0.887;0.682;0.907
data;D2;3D_noH;Linear SVM;0.938;0.879;0.878;0.742;0.876
data;5HT2A;3D_H;supervised_AE;0.937;0.895;0.895;0.791;0.871
pca_0.9;5HT2A;3D_H;RBF SVM;0.937;0.87;0.86;0.668;0.851
data;catB;Ext;LogisticRegression;0.937;0.861;0.862;0.724;0.854
data;HIVprot;KRFP;LogisticRegression;0.937;0.873;0.897;0.71;0.915
data;catB;3D_H;Linear SVM;0.937;0.884;0.884;0.769;0.866
data;catB;3D_H;RBF SVM;0.937;0.884;0.884;0.768;0.877
pca_0.9;5HT2A;3D_H;LogisticRegression;0.937;0.855;0.852;0.644;0.85
data;HIVint;PubCh;LogisticRegression;0.937;0.917;0.965;0.858;0.848
data;HIVrev;3D_H;LogisticRegression;0.937;0.844;0.844;0.686;0.846
data;kappa;MACCS;RBF SVM;0.937;0.851;0.879;0.692;0.91
pca_0.9;D2;3D_H;Linear SVM;0.937;0.867;0.861;0.711;0.848
data;mi;PubCh;LogisticRegression;0.936;0.864;0.875;0.704;0.89
data;HIVrev;Ext;LogisticRegression;0.936;0.862;0.86;0.721;0.877
data;mi;FP;Linear SVM;0.936;0.87;0.898;0.745;0.933
data;catB;2D_H;RBF SVM;0.936;0.888;0.888;0.776;0.879
data;5HT2c;FP;RBF SVM;0.936;0.856;0.861;0.703;0.873
data;HIVprot;PubCh;LogisticRegression;0.936;0.85;0.871;0.649;0.886
data;catB;FP;RBF SVM;0.936;0.864;0.864;0.729;0.854
data;D2;PubCh;RBF SVM;0.936;0.875;0.878;0.737;0.885
data;kappa;Ext;Linear SVM;0.936;0.886;0.894;0.74;0.904
data;catB;2D_noH;RBF SVM;0.936;0.888;0.888;0.776;0.879
data;5HT2A;PubCh;RBF SVM;0.936;0.843;0.875;0.662;0.903
data;mi;3D_H;supervised_AE;0.936;0.901;0.901;0.803;0.897
data;mi;3D_H;sAE_SoftMax;0.936;0.901;0.901;0.803;0.897
data;NOP;KRFP;Linear SVM;0.935;0.88;0.876;0.752;0.907
pca_100;5HT6;3D_H;RBF SVM;0.935;0.85;0.919;0.643;0.939
data;catB;2D_noH;Linear SVM;0.935;0.879;0.88;0.759;0.874
data;NOP;PubCh;Linear SVM;0.935;0.876;0.868;0.747;0.926
data;5HT2c;2D_noH;Linear SVM;0.935;0.859;0.873;0.717;0.901
data;kappa;FP;Linear SVM;0.935;0.875;0.89;0.725;0.906
data;5HT2c;2D_H;Linear SVM;0.935;0.859;0.873;0.717;0.901
data;catB;FP;LogisticRegression;0.935;0.864;0.864;0.729;0.842
data;catB;2D_H;Linear SVM;0.935;0.879;0.88;0.759;0.874
data;5HT2c;2D_noH;Linear SVM;0.935;0.859;0.873;0.717;0.901
